bc;prob
-1824.5;0.021357
-1819.5;0.021211
-1814.5;0.02095
-1809.5;0.020493
-1804.5;0.020314
-1799.5;0.020726
-1794.5;0.02127
-1789.5;0.021571
-1784.5;0.021571
-1779.5;0.021218
-1774.5;0.020552
-1769.5;0.019684
-1764.5;0.019149
-1759.5;0.019212
-1754.5;0.019149
-1749.5;0.01859
-1744.5;0.017657
-1739.5;0.016563
-1734.5;0.015408
-1729.5;0.014707
-1724.5;0.014365
-1719.5;0.014437
-1714.5;0.014988
-1709.5;0.015553
-1704.5;0.016055
-1699.5;0.01627
-1694.5;0.015831
-1689.5;0.014426
-1684.5;0.013049
-1679.5;0.012374
-1674.5;0.012314
-1669.5;0.012438
-1664.5;0.012258
-1659.5;0.011787
-1654.5;0.011556
-1649.5;0.011957
-1644.5;0.012251
-1639.5;0.01196
-1634.5;0.011615
-1629.5;0.011279
-1624.5;0.010844
-1619.5;0.010422
-1614.5;0.009962
-1609.5;0.00942
-1604.5;0.008753
-1599.5;0.008156
-1594.5;0.008019
-1589.5;0.008247
-1584.5;0.008569
-1579.5;0.008617
-1574.5;0.008663
-1569.5;0.008897
-1564.5;0.009086
-1559.5;0.008944
-1554.5;0.008662
-1549.5;0.008756
-1544.5;0.008944
-1539.5;0.008944
-1534.5;0.008662
-1529.5;0.008111
-1524.5;0.007477
-1519.5;0.007027
-1514.5;0.006577
-1509.5;0.006397
-1504.5;0.006352
-1499.5;0.005944
-1494.5;0.005078
-1489.5;0.004263
-1484.5;0.003996
-1479.5;0.004174
-1474.5;0.004533
-1469.5;0.00476
-1464.5;0.00476
-1459.5;0.004578
-1454.5;0.004262
-1449.5;0.003862
-1444.5;0.003515
-1439.5;0.003347
-1434.5;0.0030573
-1429.5;0.0025129
-1424.5;0.0021185
-1419.5;0.0019558
-1414.5;0.001699
-1409.5;0.0012828
-1404.5;0.0009819
-1399.5;0.0009004
-1394.5;0.0008193
-1389.5;0.0006691
-1384.5;0.0005242
-1379.5;0.0004419
-1374.5;0.0003638
-1369.5;0.0002631
-1364.5;0.00020829
-1359.5;0.00022101
-1354.5;0.00024838
-1349.5;0.00024838
-1344.5;0.00025564
-1339.5;0.00031161
-1334.5;0.0004085
-1329.5;0.0005111
-1324.5;0.0005242
-1319.5;0.0003874
-1314.5;0.00025564
-1309.5;0.00018471
-1304.5;0.00014885
-1299.5;0.00013116
-1294.5;0.00011533
-1289.5;0.00009467
-1284.5;0.00008276
-1279.5;0.00009154
-1274.5;0.00010116
-1269.5;0.00009785
-1264.5;0.00007469
-1259.5;0.00004004
-1254.5;0.000020926
-1249.5;0.000015195
-1244.5;0.00001459
-1239.5;0.000016194
-1234.5;0.000022241
-1229.5;0.000029654
-1224.5;0.00003581
-1219.5;0.00003386
-1214.5;0.000023529
-1209.5;0.000012093
-1204.5;0.000008123
-1199.5;0.000009885
-1194.5;0.000010042
-1189.5;0.000005915
-1184.5;0.000003786
-1179.5;0.000004548
-1174.5;0.000006441
-1169.5;0.000007335
-1164.5;0.000006835
-1159.5;0.000006178
-1154.5;0.000004732
-1149.5;0.00000368
-1144.5;0.000003917
-1139.5;0.000008281
-1134.5;0.000011357
-1129.5;0.000005494
-1124.5;0.0000021031
-1119.5;0.0000012619
-1114.5;0.000000815
-1109.5;0.0000005521
-1104.5;0.0000004732
-1099.5;0.0000005784
-1094.5;0.0000006835
-1089.5;0.0000006572
-1084.5;0.0000006047
-1079.5;0.0000005521
-1074.5;0.0000005521
-1069.5;0.0000005258
-1064.5;0.0000005258
-1059.5;0.0000006572
-1054.5;0.0000005521
-1049.5;0.00000028918
-1044.5;0.00000015773
-1039.5;0.00000013145
-1034.5;0.00000013145
-1029.5;0.00000013145
-1024.5;0.00000013145
-1019.5;0.00000010516
-1014.5;0.00000007887
-1009.5;0.00000005258
-1004.5;0.000000026289
-999.5;0.000000026289
-994.5;0
-989.5;0
-984.5;0
-979.5;0
-974.5;0
-969.5;0
-964.5;0
-959.5;0
-954.5;0
-949.5;0
-944.5;0
-939.5;0
-934.5;0
-929.5;0
-924.5;0
-919.5;0
-914.5;0
-909.5;0
-904.5;0
-899.5;0
-894.5;0
-889.5;0
-884.5;0
-879.5;0
-874.5;0
-869.5;0
-864.5;0
-859.5;0
-854.5;0
-849.5;0
-844.5;0
-839.5;0
-834.5;0
-829.5;0
-824.5;0
-819.5;0
-814.5;0
-809.5;0
-804.5;0
-799.5;0
-794.5;0
-789.5;0
-784.5;0
-779.5;0
-774.5;0
-769.5;0
-764.5;0
-759.5;0
-754.5;0
-749.5;0
-744.5;0.000000026289
-739.5;0.000000026289
-734.5;0.00000005258
-729.5;0.00000010516
-724.5;0.00000026289
-719.5;0.0000004206
-714.5;0.0000003943
-709.5;0.0000003943
-704.5;0.0000003943
-699.5;0.0000006835
-694.5;0.0000006047
-689.5;0.00000010516
-684.5;0
-679.5;0
-674.5;0
-669.5;0
-664.5;0
-659.5;0.00000007887
-654.5;0.0000002366
-649.5;0.00000010516
-644.5;0.000000026289
-639.5;0
-634.5;0
-629.5;0
-624.5;0
-619.5;0
-614.5;0
-609.5;0
-604.5;0
-599.5;0
-594.5;0
-589.5;0
-584.5;0.000000026289
-579.5;0.000000026289
-574.5;0
-569.5;0
-564.5;0
-559.5;0
-554.5;0
-549.5;0.000000026289
-544.5;0.00000005258
-539.5;0.00000026289
-534.5;0.0000007887
-529.5;0.0000008938
-524.5;0.0000006047
-519.5;0.0000011041
-514.5;0.0000024975
-509.5;0.000005153
-504.5;0.000007887
-499.5;0.00000857
-494.5;0.00000786
-489.5;0.000007887
-484.5;0.00000857
-479.5;0.000012908
-474.5;0.000017798
-469.5;0.000016404
-464.5;0.000010963
-459.5;0.000008649
-454.5;0.000007308
-449.5;0.000008649
-444.5;0.000011041
-439.5;0.000009385
-434.5;0.0000056
-429.5;0.000005153
-424.5;0.0000056
-419.5;0.00000673
-414.5;0.000010174
-409.5;0.00003268
-404.5;0.00015253
-399.5;0.000733
-394.5;0.0022053
-389.5;0.004023
-384.5;0.00504
-379.5;0.005186
-374.5;0.005043
-369.5;0.004796
-364.5;0.004612
-359.5;0.003943
-354.5;0.0028238
-349.5;0.0015481
-344.5;0.0007073
-339.5;0.0004765
-334.5;0.0004292
-329.5;0.0004292
-324.5;0.0004866
-319.5;0.0007238
-314.5;0.0010381
-309.5;0.0012453
-304.5;0.0012768
-299.5;0.0014357
-294.5;0.0016328
-289.5;0.0022501
-284.5;0.0028291
-279.5;0.003204
-274.5;0.003431
-269.5;0.003943
-264.5;0.004198
-259.5;0.003707
-254.5;0.0029819
-249.5;0.0028343
-244.5;0.0030542
-239.5;0.003356
-234.5;0.003358
-229.5;0.0022501
-224.5;0.0013284
-219.5;0.0016655
-214.5;0.0022975
-209.5;0.0017717
-204.5;0.0007587
-199.5;0.00025038
-194.5;0.0000801
-189.5;0.0000556
-184.5;0.0000556
-179.5;0.0000515
-174.5;0.00003312
-169.5;0.000013854
-164.5;0.000004443
-159.5;0.0000024186
-154.5;0.0000017351
-149.5;0.0000012882
-144.5;0.0000007887
-139.5;0.0000008938
-134.5;0.0000013407
-129.5;0.0000026026
-124.5;0.000004075
-119.5;0.000003391
-114.5;0.0000015773
-109.5;0.0000007887
-104.5;0.0000004206
-99.5;0.0000003943
-94.5;0.00000031547
-89.5;0.00000013145
-84.5;0.00000005258
-79.5;0.000000026289
-74.5;0.00000007887
-69.5;0.00000015773
-64.5;0.00000015773
-59.5;0.00000015773
-54.5;0.00000005258
-49.5;0
-44.5;0
-39.5;0
-34.5;0
-29.5;0
-24.5;0
-19.5;0
-14.5;0
-9.5;0
-4.5;0
0.5;0
5.5;0
10.5;0
15.5;0
20.5;0
25.5;0
30.5;0
35.5;0
40.5;0
45.5;0
50.5;0
55.5;0
60.5;0
65.5;0
70.5;0
75.5;0
80.5;0
85.5;0
90.5;0
95.5;0
100.5;0
105.5;0
110.5;0
115.5;0
120.5;0
125.5;0
130.5;0
135.5;0
140.5;0
145.5;0
150.5;0
155.5;0
160.5;0
165.5;0
170.5;0
175.5;0
180.5;0
185.5;0
190.5;0
195.5;0
200.5;0
205.5;0
210.5;0
215.5;0
220.5;0
225.5;0
230.5;0
235.5;0
240.5;0
245.5;0
250.5;0
255.5;0
260.5;0
265.5;0
270.5;0
275.5;0
280.5;0
285.5;0
290.5;0
295.5;0
300.5;0
305.5;0
310.5;0
315.5;0
320.5;0
325.5;0
330.5;0
335.5;0
340.5;0
345.5;0
350.5;0
355.5;0
360.5;0
365.5;0
370.5;0
375.5;0
380.5;0
385.5;0
390.5;0
395.5;0.000000026289
400.5;0.000000026289
405.5;0.00000005258
410.5;0.00000007887
415.5;0.00000018402
420.5;0.000000368
425.5;0.000000815
430.5;0.0000024186
435.5;0.000005678
440.5;0.000009464
445.5;0.000011199
450.5;0.000010489
455.5;0.000009964
460.5;0.000009964
465.5;0.000011199
470.5;0.000013697
475.5;0.00001438
480.5;0.000012829
485.5;0.000009122
490.5;0.000005757
495.5;0.000003759
500.5;0.000003339
505.5;0.00000397
510.5;0.000005862
515.5;0.000006546
520.5;0.000004443
525.5;0.000003602
530.5;0.000006204
535.5;0.000014222
540.5;0.0000362
545.5;0.00006906
550.5;0.00009143
555.5;0.00010568
560.5;0.00012724
565.5;0.00015855
570.5;0.00019843
575.5;0.00023573
580.5;0.00026287
585.5;0.00028295
590.5;0.00028434
595.5;0.00031437
600.5;0.0003956
605.5;0.0004918
610.5;0.0005721
615.5;0.0006228
620.5;0.0006556
625.5;0.0006746
630.5;0.0006666
635.5;0.0006919
640.5;0.000754
645.5;0.000826
650.5;0.0008399
655.5;0.0007657
660.5;0.0006131
665.5;0.0004607
670.5;0.0003323
675.5;0.00024131
680.5;0.00019801
685.5;0.00014882
690.5;0.00009065
695.5;0.00006372
700.5;0.00006635
705.5;0.00007067
710.5;0.00006117
715.5;0.00004661
720.5;0.00003659
725.5;0.000027104
